"AMANI HEALTH CENTRE   
BAOBAB COMMUNITY FOUNDATION
P.O.Box 1446,
DODOMA                                                                                "
2018-06-01," TO ",2018-06-26
"ALL OPD AND IPD"
"ALL CUSTOMERS"
Date,LAB,DRUGS,XRAY,DENTAL,EYE,"MINOR PROC","MAJOR PROC","CONS AND SERVICES",SUPPLIES,"SUPPLIES LAB.",Total
01.06.2018,"436,000","496,778","50,000",0,0,"75,000",0,"15,000",0,0,1072777.84
02.06.2018,"477,000","466,222","15,000",0,0,"3,000",0,"123,000",0,0,1084222
03.06.2018,"502,500","421,214","30,000",0,0,"6,000",0,"15,000",0,0,974714
04.06.2018,"810,000","657,632","40,000",0,0,"55,000",0,"26,000",0,0,1588632
05.06.2018,"490,000","499,055","25,000",0,0,"8,000",0,"5,000",0,0,1027055
06.06.2018,"304,500","389,254","15,000",0,0,"20,000",0,"131,000",0,0,859754
07.06.2018,"352,000","406,490",0,0,0,0,0,0,0,0,758490
08.06.2018,"448,500","471,054","15,000",0,0,"3,000",0,"10,000",0,0,947554
09.06.2018,"435,500","357,602","25,000",0,0,"5,000",0,0,0,0,823102
10.06.2018,"357,000","591,417",0,0,0,"1,000",0,"21,500",0,0,970917
11.06.2018,"414,000","425,426","50,000",0,0,"6,000",0,"5,000",0,0,900425.84
12.06.2018,"351,500","813,336",0,0,0,"1,000",0,"9,500",0,0,1175336
13.06.2018,"405,500","551,318",0,0,0,"50,000",0,"28,000",0,0,1034818
14.06.2018,"313,500","484,834",0,0,0,"1,000",0,"10,000",0,0,809334
15.06.2018,"302,500","453,516",0,0,0,"2,000",0,"15,000",0,0,773015.84
16.06.2018,"292,000","522,344","55,000",0,0,"156,000",0,"35,500",0,0,1060844
17.06.2018,"394,000","431,140",0,0,0,0,0,"10,000",0,0,835139.84
18.06.2018,"370,500","441,851",0,0,0,"26,000",0,"15,000",0,0,853351
19.06.2018,"598,500","639,021","80,000",0,0,"203,000",0,"15,000",0,0,1535521
20.06.2018,"298,000","432,938","50,000",0,0,"10,000",0,"18,000",0,0,808937.84
21.06.2018,"352,500","691,456",0,0,0,"90,000",0,"25,000",0,0,1158955.84
22.06.2018,"278,500","456,016","55,000",0,0,"45,000",0,0,0,0,834516
23.06.2018,"318,500","420,818","105,000",0,0,"76,000",0,"93,000",0,0,1013318
24.06.2018,"536,000","799,314",0,0,0,"1,000",0,"20,000",0,0,1356314
25.06.2018,"519,000","658,762","40,000",0,0,"25,000",0,"103,000",0,0,1345762
26.06.2018,"155,500","191,200","25,000",0,0,0,0,"23,000",0,0,394700
TOTAL,10513000,13170007.04,675000,0,0,868000,0,771500,0,0,25997507.04
